"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2021 00:00 - 01/01/2021 00:15","BZN|NL","11394.82","12450.64"
"01/01/2021 00:15 - 01/01/2021 00:30","BZN|NL","11432.82","12446.36"
"01/01/2021 00:30 - 01/01/2021 00:45","BZN|NL","11434.49","12406.32"
"01/01/2021 00:45 - 01/01/2021 01:00","BZN|NL","11375.81","12298.02"
"01/01/2021 01:00 - 01/01/2021 01:15","BZN|NL","11418.19","12162.59"
"01/01/2021 01:15 - 01/01/2021 01:30","BZN|NL","11379.09","12071.81"
"01/01/2021 01:30 - 01/01/2021 01:45","BZN|NL","11283.07","12018.84"
"01/01/2021 01:45 - 01/01/2021 02:00","BZN|NL","11172.20","11924.58"
"01/01/2021 02:00 - 01/01/2021 02:15","BZN|NL","11090.97","11835.39"
"01/01/2021 02:15 - 01/01/2021 02:30","BZN|NL","10988.10","11761.15"
"01/01/2021 02:30 - 01/01/2021 02:45","BZN|NL","10866.91","11707.66"
"01/01/2021 02:45 - 01/01/2021 03:00","BZN|NL","10754.61","11650.84"
"01/01/2021 03:00 - 01/01/2021 03:15","BZN|NL","10677.01","11612.68"
"01/01/2021 03:15 - 01/01/2021 03:30","BZN|NL","10618.58","11606.32"
"01/01/2021 03:30 - 01/01/2021 03:45","BZN|NL","10521.36","11603.64"
"01/01/2021 03:45 - 01/01/2021 04:00","BZN|NL","10490.33","11603.00"
"01/01/2021 04:00 - 01/01/2021 04:15","BZN|NL","10435.03","11625.84"
"01/01/2021 04:15 - 01/01/2021 04:30","BZN|NL","10391.82","11675.00"
"01/01/2021 04:30 - 01/01/2021 04:45","BZN|NL","10333.35","11702.59"
"01/01/2021 04:45 - 01/01/2021 05:00","BZN|NL","10324.29","11705.99"
"01/01/2021 05:00 - 01/01/2021 05:15","BZN|NL","10370.37","11790.89"
"01/01/2021 05:15 - 01/01/2021 05:30","BZN|NL","10395.21","11914.13"
"01/01/2021 05:30 - 01/01/2021 05:45","BZN|NL","10465.61","12012.85"
"01/01/2021 05:45 - 01/01/2021 06:00","BZN|NL","10449.64","12171.27"
"01/01/2021 06:00 - 01/01/2021 06:15","BZN|NL","10577.62","12405.44"
"01/01/2021 06:15 - 01/01/2021 06:30","BZN|NL","10575.05","12637.92"
"01/01/2021 06:30 - 01/01/2021 06:45","BZN|NL","10575.67","12805.44"
"01/01/2021 06:45 - 01/01/2021 07:00","BZN|NL","10637.24","12983.58"
"01/01/2021 07:00 - 01/01/2021 07:15","BZN|NL","10715.82","13330.11"
"01/01/2021 07:15 - 01/01/2021 07:30","BZN|NL","10789.00","13664.10"
"01/01/2021 07:30 - 01/01/2021 07:45","BZN|NL","10839.13","13969.16"
"01/01/2021 07:45 - 01/01/2021 08:00","BZN|NL","10926.24","14274.87"
"01/01/2021 08:00 - 01/01/2021 08:15","BZN|NL","11026.08","14562.21"
"01/01/2021 08:15 - 01/01/2021 08:30","BZN|NL","11178.33","14822.81"
"01/01/2021 08:30 - 01/01/2021 08:45","BZN|NL","11225.73","15030.99"
"01/01/2021 08:45 - 01/01/2021 09:00","BZN|NL","11212.41","15156.82"
"01/01/2021 09:00 - 01/01/2021 09:15","BZN|NL","11334.29","15302.26"
"01/01/2021 09:15 - 01/01/2021 09:30","BZN|NL","11440.73","15375.10"
"01/01/2021 09:30 - 01/01/2021 09:45","BZN|NL","11526.35","15397.90"
"01/01/2021 09:45 - 01/01/2021 10:00","BZN|NL","11562.07","15371.38"
"01/01/2021 10:00 - 01/01/2021 10:15","BZN|NL","11595.02","15306.24"
"01/01/2021 10:15 - 01/01/2021 10:30","BZN|NL","11632.52","15251.44"
"01/01/2021 10:30 - 01/01/2021 10:45","BZN|NL","11640.46","15107.24"
"01/01/2021 10:45 - 01/01/2021 11:00","BZN|NL","11630.20","15016.69"
"01/01/2021 11:00 - 01/01/2021 11:15","BZN|NL","11606.63","14933.77"
"01/01/2021 11:15 - 01/01/2021 11:30","BZN|NL","11580.54","14828.10"
"01/01/2021 11:30 - 01/01/2021 11:45","BZN|NL","11576.57","14727.47"
"01/01/2021 11:45 - 01/01/2021 12:00","BZN|NL","11602.94","14641.76"
"01/01/2021 12:00 - 01/01/2021 12:15","BZN|NL","11596.57","14550.09"
