event_time_utc,zone,temperature_c,u10_ms,v10_ms,surface_pressure_pa
2020-01-01 00:00:00,NL,3.0810242,-1.5961201,2.774176,103153.52
2020-01-01 01:00:00,NL,2.9406128,-1.3720988,2.8526103,103098.53
2020-01-01 02:00:00,NL,2.6758118,-1.4319775,3.089241,103060.4
2020-01-01 03:00:00,NL,2.2850342,-1.463902,3.1996737,103009.664
2020-01-01 04:00:00,NL,2.0607605,-1.4742987,3.1699958,102958.56
2020-01-01 05:00:00,NL,1.9100037,-1.5421647,3.0268402,102935.05
2020-01-01 06:00:00,NL,1.7059021,-1.698102,3.1218095,102920.62
2020-01-01 07:00:00,NL,1.5145264,-1.7095249,3.4480748,102927.05
2020-01-01 08:00:00,NL,1.3054199,-1.4881023,3.712367,102929.734
2020-01-01 09:00:00,NL,1.4506226,-1.1468914,4.016931,102940.22
2020-01-01 10:00:00,NL,1.6809692,-0.28649372,4.017105,102943.14
2020-01-01 11:00:00,NL,2.1292114,0.22993161,3.8620462,102927.695
2020-01-01 12:00:00,NL,2.4990234,0.44630143,3.6996055,102843.35
2020-01-01 13:00:00,NL,2.7974548,0.51388025,3.5872705,102778.21
2020-01-01 14:00:00,NL,2.9507446,0.41522065,3.5176332,102746.01
2020-01-01 15:00:00,NL,2.8660278,0.39385164,3.520645,102721.87
2020-01-01 16:00:00,NL,2.4483643,0.48056906,3.836574,102722.37
2020-01-01 17:00:00,NL,2.1788635,0.76838875,4.2890687,102725.125
2020-01-01 18:00:00,NL,1.9633179,1.2160857,4.569508,102691.06
2020-01-01 19:00:00,NL,1.8871155,1.8102673,4.4778194,102690.59
2020-01-01 20:00:00,NL,1.8656006,2.3801198,4.03823,102679.875
2020-01-01 21:00:00,NL,1.9468079,2.5661047,3.7624457,102650.28
2020-01-01 22:00:00,NL,1.8045349,2.1937387,3.3091881,102608.96
2020-01-01 23:00:00,NL,1.9743042,2.2393105,3.496755,102585.25
2020-01-02 00:00:00,NL,2.03656,2.1235676,3.5975068,102553.695
2020-01-02 01:00:00,NL,2.076294,2.059193,3.9659095,102485.54
2020-01-02 02:00:00,NL,2.1849365,2.1075943,4.156682,102450.46
2020-01-02 03:00:00,NL,2.262909,2.2142024,4.24098,102417.28
2020-01-02 04:00:00,NL,2.3171997,2.1654117,4.355365,102368.51
2020-01-02 05:00:00,NL,2.4311218,2.1163971,4.5998373,102330.3
2020-01-02 06:00:00,NL,2.538086,2.1805713,4.8264403,102307.09
2020-01-02 07:00:00,NL,2.684845,2.1413617,4.9396753,102291.78
2020-01-02 08:00:00,NL,2.853119,1.9947028,5.1412015,102278.57
2020-01-02 09:00:00,NL,3.0768738,1.77702,5.354804,102265.63
2020-01-02 10:00:00,NL,3.3452454,1.6955268,5.391968,102242.21
2020-01-02 11:00:00,NL,3.6611023,1.4740173,5.70213,102181.445
2020-01-02 12:00:00,NL,4.0481873,1.3745832,5.988441,102080.81
2020-01-02 13:00:00,NL,4.4450684,1.4919921,6.2858996,101967.49
2020-01-02 14:00:00,NL,4.7825317,1.5859812,6.597833,101897.9
2020-01-02 15:00:00,NL,5.0894775,1.8304973,6.88765,101852.44
2020-01-02 16:00:00,NL,5.320404,2.0674496,6.92347,101806.984
2020-01-02 17:00:00,NL,5.5769653,2.3387632,7.0883923,101783.15
2020-01-02 18:00:00,NL,5.828949,2.3973033,7.2752614,101729.25
2020-01-02 19:00:00,NL,6.1171875,2.4027364,7.4445477,101666.08
2020-01-02 20:00:00,NL,6.3993225,2.6895983,7.581736,101622.4
2020-01-02 21:00:00,NL,6.734833,3.0740268,7.5810337,101565.375
2020-01-02 22:00:00,NL,7.040344,3.9299827,7.0995083,101528.98
2020-01-02 23:00:00,NL,7.4110413,4.206295,6.929954,101492.125
2020-01-03 00:00:00,NL,7.6992493,4.3568473,6.9994783,101398.625
2020-01-03 01:00:00,NL,7.9628906,4.7800884,6.9303756,101335.55
2020-01-03 02:00:00,NL,8.232758,4.967166,6.6591334,101297.734
2020-01-03 03:00:00,NL,8.389862,4.940317,6.456497,101240.56
2020-01-03 04:00:00,NL,8.494659,4.9755836,6.336373,101186.35
2020-01-03 05:00:00,NL,8.535522,5.0284004,6.231697,101146.586
2020-01-03 06:00:00,NL,8.615326,5.137991,6.066773,101128.63
2020-01-03 07:00:00,NL,8.675934,5.142372,5.9875283,101118.734
2020-01-03 08:00:00,NL,8.675842,5.2937994,5.8436394,101110.05
2020-01-03 09:00:00,NL,8.720673,5.5442953,5.2601504,101111.01
2020-01-03 10:00:00,NL,8.950256,5.776008,3.5529442,101132.59
