id,station_name,country,status_id,status_name,latitude,longitude,snapshot_ts_utc
3124,Vissers Venlo-Tegelen,NL,2,Planned,51.3519135,6.150182,2026-02-22T20:26:24Z
2235,H2Point Oosterhout,NL,2,Planned,51.6709830176799,4.83610855409994,2026-02-22T20:26:24Z
2560,Air Products Rotterdam,NL,2,Planned,51.874968,4.260921,2026-02-22T20:26:24Z
364,CUTE station - new,NL,3,Old Projects,52.40179,4.90562,2026-02-22T20:26:24Z
3002,Holthausen Amsterdam,NL,1,In Operation,52.40631,4.75017,2026-02-22T20:26:24Z
3123,Minli Landgraaf,NL,2,Planned,50.88668,6.02534,2026-02-22T20:26:24Z
1907,Green Planet Pesse,NL,1,In Operation,52.773998,6.445285,2026-02-22T20:26:24Z
1825,PitPoint Breda,NL,1,In Operation,51.5833802099935,4.8277857164573,2026-02-22T20:26:24Z
449,WaterstofNet Station Helmond,NL,3,Old Projects,51.47493,5.618958,2026-02-22T20:26:24Z
2418,TEAL Mobility Veldhoven,NL,1,In Operation,51.4119298846521,5.42765052513122,2026-02-22T20:26:24Z
2417,Doetinchem,NL,1,In Operation,51.9461940265963,6.28422502785291,2026-02-22T20:26:24Z
2234,OrangeGas Schiphol,NL,1,In Operation,52.27063,4.69562,2026-02-22T20:26:24Z
653,Arnhem temporary station,NL,3,Old Projects,51.966809804771,5.94351735526435,2026-02-22T20:26:24Z
3133,Fieten Olie ,NL,2,Planned,52.80233,6.12889,2026-02-22T20:26:24Z
2114,GP Groot Alkmaar,NL,1,In Operation,52.59763,4.75112,2026-02-22T20:26:24Z
2116,Dordrecht,NL,1,In Operation,51.8040891995467,4.64644290318675,2026-02-22T20:26:24Z
1768,Groningen Bus station,NL,3,Old Projects,53.3196308236481,6.94319792221954,2026-02-22T20:26:24Z
1789,Holthausen H2 Refuelling Station Groningen,NL,1,In Operation,53.20937,6.59604,2026-02-22T20:26:24Z
1811,PitPoint Arnhem,NL,1,In Operation,51.9711962250993,5.94648907309493,2026-02-22T20:26:24Z
1897,H2Benelux Rotterdam,NL,1,In Operation,51.9542138087077,4.56282087320264,2026-02-22T20:26:24Z
1895,Shell Amsterdam,NL,3,Old Projects,52.39624,4.80093,2026-02-22T20:26:24Z
1896,Shell Den Ruygen Hoek,NL,3,Old Projects,52.258363334764,4.68512918518063,2026-02-22T20:26:24Z
1898,Orangegas -BP Kerkhof,NL,1,In Operation,52.071385,4.335384,2026-02-22T20:26:24Z
1899,Oude Tonge,NL,1,In Operation,51.7004465547134,4.20452652910372,2026-02-22T20:26:24Z
1901,Roosendaal,NL,1,In Operation,51.5582038393413,4.45372967041504,2026-02-22T20:26:24Z
1903,OrangeGas Assen,NL,3,Old Projects,53.02631,6.7711,2026-02-22T20:26:24Z
1904,Shell Emmen,NL,1,In Operation,52.7539051575681,6.93808068218034,2026-02-22T20:26:24Z
1970,OrangeGas Amsterdam,NL,1,In Operation,52.4000138138894,4.79499103280493,2026-02-22T20:26:24Z
2156,Holthausen Amsterdam,NL,3,Old Projects,52.3999862262617,4.79604899369834,2026-02-22T20:26:24Z
2118,Nieuwegein HySolar/ Greenpoint,NL,1,In Operation,52.027669,5.105234,2026-02-22T20:26:24Z
58,CUTE station,NL,3,Old Projects,52.4022,4.9047,2026-02-22T20:26:24Z
60,TEAL Mobility Rotterdam Station,NL,1,In Operation,51.86449,4.436662,2026-02-22T20:26:24Z
61,ECN WT,NL,3,Old Projects,52.7865549,4.679619,2026-02-22T20:26:24Z
62,HyMove Arnhem,NL,3,Old Projects,51.975117,5.9217,2026-02-22T20:26:24Z
2346,Shell Bus station,NL,1,In Operation,53.20902,6.54289,2026-02-22T20:26:24Z
2157,H2Benelux Utrecht,NL,2,Planned,52.1169968225152,5.03047457629384,2026-02-22T20:26:24Z
3043,BP AVIA Vollenhoven,NL,1,In Operation,51.45456,5.52257,2026-02-22T20:26:24Z
2686,Vissers Energy Horst,NL,1,In Operation,51.44075,6.0489,2026-02-22T20:26:24Z
2158,Fountain Fuel Amersfoort,NL,1,In Operation,52.1639302208094,5.4241763023984,2026-02-22T20:26:24Z
2160,Fountain Fuel Rotterdam,NL,2,Planned,51.94901,4.42745,2026-02-22T20:26:24Z
2999,Terneuzen,NL,2,Planned,51.3201,3.82942,2026-02-22T20:26:24Z
2164,Bus station South Holland,NL,1,In Operation,51.814116,4.499458,2026-02-22T20:26:24Z
3094,Fountain Fuel Assen,NL,2,Planned,53.02609,6.57462,2026-02-22T20:26:24Z
3097,Fountain Fuel Meerkerk,NL,2,Planned,51.89964,4.98334,2026-02-22T20:26:24Z
2419,DreamH2aul,NL,1,In Operation,52.23091299,6.2116534,2026-02-22T20:26:24Z
2767,Fountain Fuel Nijmegen,NL,2,Planned,51.85658,5.83403,2026-02-22T20:26:24Z
3044,Avia Kolhorn,NL,1,In Operation,52.79241,4.91027,2026-02-22T20:26:24Z
3095,Fountain Fuel Zaltbommel,NL,2,Planned,51.800905,5.289321,2026-02-22T20:26:24Z
3096,Fountain Fuel Barneveld,NL,2,Planned,52.1223083310833,5.56359178905703,2026-02-22T20:26:24Z
3098,Fountain Fuel Hattemerbroek,NL,2,Planned,52.478,6.0117,2026-02-22T20:26:24Z
